Politician,Party,State,Negativity,Neutrality,Positivity,Compound,Average Likes
John Cornyn,Republican,Texas,0.08102454337899548,0.8151324200913238,0.09585159817351609,0.04489560502283102,105.15296803652969
Catherine Cortez Masto,Democrat,Nevada,0.05538417210910481,0.7707379946215912,0.17388321167883178,0.40169573568958905,90.54129850172878
Tom Cotton,Republican,Arkansas,0.10620705572040914,0.7583432245301672,0.13346521595779764,0.05257124958786682,1000.7896472139796
Kevin Cramer,Republican,North Dakota,0.060587092042537545,0.7677099376604339,0.16985918591859184,0.3331024569123573,49.378071140447375
Mike Crapo,Republican,Idaho,0.0558345070422536,0.7781051307847077,0.1615236418511066,0.3063962273641856,53.316901408450704
Ted Cruz,Republican,Texas,0.11508708379070615,0.7409074277350906,0.09972045371386744,-0.06342019758507124,2529.4167581412366
Steve Daines,Republican,Montana,0.06306497461928927,0.7416510998307951,0.19122842639593896,0.31538071065989937,218.98544839255499
Tammy Duckworth,Democrat,Illinois,0.08169220292815811,0.7736189989785491,0.14195948246510015,0.20042877085461333,3606.551923731699
Richard J. Durbin,Democrat,Illinois,0.08048940914158294,0.7742370865849127,0.14526384243775528,0.22413050910442212,467.29580081753994
Joni Ernst,Republican,Iowa,0.0769010848755585,0.7818736439055499,0.13930153158902345,0.2087819400127628,82.7546266751755
Dianne Feinstein,Democrat,California,0.08127217249796588,0.7714035801464604,0.14732017900732292,0.22185537021969118,321.0907241659886
Deb Fischer,Republican,Nebraska,0.04373862841147656,0.7823201539538134,0.172545136459062,0.41628446466060076,70.86109167249825
Kirsten E. Gillibrand,Democrat,New York,0.08699360113757548,0.7442488446498408,0.16734376110913632,0.22231638819765412,1413.5129754710274
Lindsey Graham,Republican,South Carolina,0.07752124241342381,0.7985851481613723,0.12175080328454131,0.12175740806854696,3037.1363798643342
Chuck Grassley,Republican,Iowa,0.05347882534775883,0.8224132921174659,0.12318238021638324,0.2028948068006182,1080.2315301391036
Bill Hagerty,Republican,Tennessee,0.08563824289405693,0.7768720930232552,0.11973449612403074,0.08525074289405672,75.29005167958657
Margaret Wood Hassan,Democrat,New Hampshire,0.061399268617021246,0.7649238696808514,0.1730119680851063,0.3588407912234057,153.41888297872342
Josh Hawley,Republican,Missouri,0.08236321757618693,0.7657090715804388,0.13704712969525207,0.0986658752657689,3111.0690999291282
Martin Heinrich,Democrat,New Mexico,0.06947019867549672,0.7780364238410598,0.15029286239882247,0.2624714863870492,201.43414275202355
John W. Hickenlooper,Democrat,Colorado,0.050400191021967536,0.7775444126074503,0.1682244508118433,0.3322984718242599,476.0974212034384
Mazie K. Hirono,Democrat,Hawaii,0.09326904176904177,0.7850393120393134,0.12128173628173639,0.10415180180180192,1937.0217035217036
John Hoeven,Republican,North Dakota,0.029088147903598534,0.7829085506767922,0.1876751403103336,0.5016508748761962,37.46649059095411
Cindy Hyde-Smith,Republican,Mississippi,0.04761485668146944,0.7366746063786859,0.20522042793702053,0.45991162696810467,38.706499798142914
James M. Inhofe,Republican,Oklahoma,0.06418867924528293,0.7752977294531493,0.15730028781579763,0.31904262871762096,133.4192516789255
Ron Johnson,Republican,Wisconsin,0.07383639203436157,0.7781065989847725,0.14415618898867638,0.16934263959390894,909.5864896524795
Tim Kaine,Democrat,Virginia,0.08975035410764869,0.7539277620396612,0.1556009206798871,0.17878912889518436,2275.146600566572
Mark Kelly,Democrat,Arizona,0.0455438972162741,0.7847644539614568,0.16969593147751602,0.4177943254817989,1251.2441113490363
John Kennedy,Republican,Louisiana,0.06838123893805315,0.7653692035398217,0.16448495575221214,0.2567600707964607,381.88778761061945
